[-126, -62, -94, -126, -126, -124, -70, -126, 28, -60, -126, -28, 24, -70, -126, -126, -126, -126, -62, -126, -126, -126, -62, -30, -124, -126, -126, -126, -126, -126, -126, -66, -62, -126, -112, -124, -62, -126, -126, 2, -126, 2, -126, -126, -102, -118, -126, -62, -30, -126, 18, -126, -94, 46, -126, -126, -126, -126, -126, -126, -30, -62, -126, -126]
[-126, -78, -114, -126, -126, 0, -78, -126, -120, 38, -126, 64, -118, -102, -126, -126, -126, -126, -62, -126, -126, -126, -78, -62, 0, -126, -126, -126, -126, -126, -126, -78, -62, -126, 0, 0, -78, -126, -126, 0, -126, 0, -126, -126, -126, -126, -126, -96, -62, -126, 2, -126, -108, 24, -126, -126, -126, -126, -126, -126, -62, -62, -126, -126]
[-94, -126, -124, -126, -120, -110, -126, -126, 0, 0, -126, -126, -94, -62, -126, -126, -126, -62, -116, -126, -126, -126, -92, -126, -120, -78, -126, -30, -120, -94, -126, -126, -126, -126, -62, -126, -126, -126, -94, -62, -126, -126, -126, -126, -126, -126, -126, 48, -96, -126, 2, -126, 36, -126, -126, -126, -126, -126, -126, -126, -118, -126, -126, -94]
[-30, -126, 14, -126, -96, -78, 0, -126, 0, -126, -126, -126, 96, -62, -126, -126, -126, -126, 64, -126, -126, -126, 0, -126, 62, -126, -112, -62, 32, -14, -126, -126, -126, -126, -126, -126, -126, -126, -126, -62, -120, -126, -126, -126, -126, -126, -126, -126, 112, -126, 30, -126, -14, -126, -126, -110, -126, -126, -126, -126, -72, -126, -126, -14]
[-926, -1022, -240, -1022, -222, -974, -1022, -1022, 6, -1022, 0, -1022, -926, -830, -1022, -1022, -1022, -894, -958, -1022, -1022, -1008, -894, -1022, 566, -896, 512, -824, -974, -926, -1022, -1022, -1022, -1022, -638, -1022, -1022, -1022, -894, -830, 518, -1022, -1022, -1022, -1022, -1022, -1022, -894, -894, -1022, 542, -1016, -894, -1022, -1022, -1008, -1022, -1006, -1022, -1022, 550, -1016, -1022, -910]
[-52, -78, -52, -62, -48, -60, -76, -62, -56, -78, -62, -78, -44, -510, -70, -78, -126, -126, 368, -126, -166, -158, -96, -152, -108, -96, -120, -62, -112, -112, -156, -638, -126, -142, -510, -124, -126, -146, -114, -102, -104, -142, -166, -158, -142, -126, -140, -96, -100, -134, -96, -112, -110, -192, -112, -126, -146, -126, -142, -176, -112, 384, -158, -102]
[-990, 960, -46, -96, -984, -962, 926, -768, 10, -56, 6, 30, 936, 962, -1004, -120, 896, -768, 536, 896, 742, 830, -686, 638, -742, 896, -992, -768, -816, -1022, 704, 670, 982, 664, -1022, 926, -608, 768, -798, -752, -928, -974, 1014, -1022, 846, 992, -768, -960, -638, 926, -462, -638, -704, 864, 960, 990, 974, -1022, -910, -736, -736, 984, 966, -966]
[112, -48, 920, 994, -112, -926, 14, -926, 56, 960, -952, 896, -880, 0, -992, 926, -688, 798, -992, -1008, 768, 824, -896, 896, -792, -966, 814, -960, 926, -782, 864, -1022, 846, -864, -600, -928, 926, 992, -800, 688, 976, -878, -1022, 822, 1022, 1022, 960, -864, -1022, 1022, -992, 800, -1022, 824, 960, -992, -872, -896, 1006, -960, -864, -830, 856, -830]
[-960, 60, 0, 902, -1022, 960, 2, 30, 268, -62, 28, 816, 130, -1022, 62, -30, 936, -1022, 896, -1006, 990, -992, -832, -816, -920, 974, -768, -704, -960, 896, -984, 966, 896, 966, -1022, 992, 864, -846, -928, -1022, 1022, 960, 944, -1022, -976, 856, -960, -798, -974, -992, -936, -824, 896, 736, -670, -928, -904, -1022, 904, 910, -1006, -942, -1022, -1022]
[984, 960, 82, 0, -6, -126, 996, 1008, 926, 24, 214, 62, -1008, -994, 14, 1008, -1016, -902, -1016, -1022, 870, 706, -944, -824, -920, -830, -894, -910, 782, 994, -1022, -990, -992, -734, 958, 846, -592, -958, -974, -574, 992, -1022, -984, 992, -1022, 974, 960, 768, 944, 816, -1022, 798, -928, 830, 832, -798, 816, -1008, 902, -958, -966, -960, 944, -928]
[192, 1022, 14, -14, -798, 766, 1022, -960, 984, 30, -270, 754, 62, 62, -10, -830, -752, -30, 992, 992, 256, -798, 0, 992, -1008, 0, -252, 0, -766, -510, -1022, 960, -768, -574, -968, 736, 574, -1006, -254, 768, -760, -448, 912, 0, -798, -960, 926, 902, 830, 782, 0, -904, -830, 830, -254, -510, 896, -768, 630, -1016, 934, 782, 574, -638]
